This Twitter Feed is Recording for this Bounding Box (sw long, sw lat, ne long, ne lat)  -84.6,33.3,-83.9,33.9Starting at this date and time  Mon Nov 07 2016 20:05:15 GMT-0500 (Eastern Standard Time)
Screen Name, Tweet Content, Tweet Time, User Location, Coordinates, Tweet Place
"dixieunionmama","@aliciakeys @NBCTheVoice","Tue Nov 08 01:06:46 +0000 2016","Waycross, GA","null","Georgia, USA"
"YouSleepOnTray","@cccchyna nun unnnn unacceptable","Tue Nov 08 01:06:46 +0000 2016","Atlanta, GA","null","Georgia, USA"
"kassidyyy15","I. Love. Country Music","Tue Nov 08 01:06:47 +0000 2016","North Carolina, USA","null","North Carolina, USA"
"CarlieBolton3","Omg @T_Cullars 😂😂😂😂😂 https://t.co/t4QvAEd6yT","Tue Nov 08 01:06:50 +0000 2016","null","null","Georgia, USA"
"ATLIENKING","Damn Moniece. I'm slick shocked #LHHHReunion","Tue Nov 08 01:06:51 +0000 2016","A T L ","null","Atlanta, GA"
"matthew_aro","#thisisapyramidscheme https://t.co/EBoV7z17nz","Tue Nov 08 01:06:52 +0000 2016","Atlanta, GA","null","Georgia, USA"
"_kayjonae","yesss https://t.co/6ngcT6xQit","Tue Nov 08 01:06:52 +0000 2016","Madison, GA","null","Georgia, USA"
"tsharp94","I voted weeks ago &amp; already have the @UNC_Humor follow, but I'll play along. Get out and vote for this Tar Heel tom… https://t.co/QrUttNLiIi","Tue Nov 08 01:06:52 +0000 2016","NC / LA / NYC","null","North Carolina, USA"
"LoLo2584","@Jaclynhill prayers for your family! 🙏🏻","Tue Nov 08 01:06:57 +0000 2016","Atalnta GA","null","Georgia, USA"
"Ahsatan666","@78nikita5 @marilynmanson  I know right, that he was... Such an awesome yet not perfect man!!!","Tue Nov 08 01:06:59 +0000 2016","Lawrenceville, GA","null","College Park, GA"
"Zach__Neff","@sgpeek @AmyMek Also there doesn't seem to be any legitimate evidence to support you "many" claim for either welfare or voting that I found.","Tue Nov 08 01:06:59 +0000 2016","Georgia, USA","null","Georgia, USA"
"teresawestwww","I'm over Tamras crazy ass screaming and acting a damn fool. She's fake ! #RHOC","Tue Nov 08 01:06:59 +0000 2016","null","null","North Carolina, USA"
"_Cheekaaa_","Just got an email from the dean inviting me to talk about transgender student policies.. Will be in attendance 👌🏾","Tue Nov 08 01:07:00 +0000 2016","Roseland, Chicago","null","Atlanta, GA"
"MelloStacks55","Watch my plug cook dope with his right hand","Tue Nov 08 01:07:01 +0000 2016","memphis","null","Georgia, USA"
"cutiekaylee8","I asked my dad to get me tampons today so when I got home he said "I got your blood blockers" 😂 I died","Tue Nov 08 01:07:02 +0000 2016","919","null","North Carolina, USA"
"kayscott22","Current situation...my fireplace mantel  #fall2016🍁 #thelittlethings… https://t.co/VhqsynABqg","Tue Nov 08 01:07:03 +0000 2016","ATLANTA ","[object Object]","Smyrna, GA"
"Rolled_Blunts","🙊🙈 She Probably Know Already 😝☺️ https://t.co/IzYC7aROdB","Tue Nov 08 01:07:03 +0000 2016","null","null","Georgia, USA"
"BrokenKwag","Smackdown Will Win 2 Of Them","Tue Nov 08 01:07:03 +0000 2016","Sasha Ville ","null","North Carolina, USA"
"giltykiss","this stream is terrible i could only hear them but i Support","Tue Nov 08 01:07:04 +0000 2016","μ'sic forever♪♪♪♪♪♪♪♪♪","null","Georgia, USA"
"krisdinee","WHAT WAS EMINEM WEARING A DURAG FOR ???","Tue Nov 08 01:07:05 +0000 2016","neo-atlanta","null","Georgia, USA"
"kayscott22","Current situation...my fireplace mantel  #fall2016🍁 #thelittlethings… https://t.co/VhqsynABqg","Tue Nov 08 01:07:03 +0000 2016","ATLANTA ","[object Object]","Smyrna, GA"
"RCPS_ElemED","Check this out @RCPSCSS https://t.co/hVVR5tZSHs","Tue Nov 08 01:07:06 +0000 2016","null","null","Vinings, GA"
"_sweeeeet_tee","Bruh My Back Hurt😩😩","Tue Nov 08 01:07:08 +0000 2016","SC: callher.tee","null","Atlanta, GA"
"TyanaMari","Why Nia there she was on this season for a sec #LHHReunion","Tue Nov 08 01:07:09 +0000 2016","1988 Shady Pines ","null","McDonough, GA"
"tvhdabest","I love money 😛 ion love bitches 👎🏽","Tue Nov 08 01:07:09 +0000 2016","North Carolina, USA","null","North Carolina, USA"
"DreLocoZFG","Gwinnett County is a random ass county...full of lames that is","Tue Nov 08 01:07:09 +0000 2016","New York ✈️Atlanta, GA","null","Georgia, USA"
"latif_wahida","@TasteofClveland","Tue Nov 08 01:07:10 +0000 2016","null","null","Georgia, USA"
"mambomoondog","@missyrussell81 Still holding out here even tho we have been in the low 30s at night &amp; in the morning. 20s this com… https://t.co/dc8QNYdYNf","Tue Nov 08 01:07:11 +0000 2016","North Carolina, USA","null","North Carolina, USA"
"ChuckJackson10","@almostjingo @wikileaks @HalleyBorderCol @francisdominicu @TeamTrump @nia4_trump @immigrant4trump @EvilHillaryPics @OnMessageForHer black 1?","Tue Nov 08 01:07:12 +0000 2016","Georgia Club, Statham, GA","null","Georgia, USA"
"cbyrdd","#VoicePlayoffsJoshH","Tue Nov 08 01:07:12 +0000 2016","North Carolina, USA","null","North Carolina, USA"
"yourbaby_zy","😂😂😂😂😂😂😂","Tue Nov 08 01:07:14 +0000 2016","Atlanta","null","Georgia, USA"
"iseeyouace_21","@RedBoi_Slangin now following","Tue Nov 08 01:07:14 +0000 2016","Atlanta, GA","null","Georgia, USA"
"whitetwiittter","@ https://t.co/1QV62rUleo","Tue Nov 08 01:07:14 +0000 2016","null","null","North Carolina, USA"
"AccountempsJobs","Interested in a #job in #MadisonGA30650, GA? This could be a great fit: https://t.co/E1AE9J2KiT #Accountemps #Finance #Hiring","Tue Nov 08 01:07:15 +0000 2016","Menlo Park, CA","[object Object]","Georgia, USA"
"mariahmjames","@rayn_M_graham98 I don't even wanna go 😂","Tue Nov 08 01:07:15 +0000 2016","Somewhere napping my life away","null","North Carolina, USA"
"LakeB0d0mKiller","Discovered the instrumental project #enemyac130above a few days ago and am amazed by it. Great stuff @SH4RKTEETH.","Tue Nov 08 01:07:15 +0000 2016","Milledgeville, GA","null","Georgia, USA"
"WINEcoloredKISS","She's just too much for me #LHHReunion","Tue Nov 08 01:07:18 +0000 2016","Atlanta, GA","null","Sandy Springs, GA"
"tyler151998","Only fake people get mad when you say some real shit.","Tue Nov 08 01:07:18 +0000 2016","wrightsville georgia ","null","Georgia, USA"
"joshporterr5","Me and @jacobthesaylor &gt; https://t.co/nTIJ1pr1Fr","Tue Nov 08 01:07:18 +0000 2016","rrhs '17","null","Georgia, USA"
"huber_travis","I finally feel like we are getting the future of the @Browns going with @CodyKessler6. keep up the solid play man!","Tue Nov 08 01:07:19 +0000 2016","Jacksonville, NC","null","North Carolina, USA"
"alyssa_reeves07","@natetruxel26 i was waiting on her to pull a puppy out of that bag..","Tue Nov 08 01:07:19 +0000 2016","little mermaid ","null","Georgia, USA"
"Barshjb","@_KingMcCool what we was talking about the other day .. I'm in the same situation 🤐","Tue Nov 08 01:07:20 +0000 2016","null","null","Georgia, USA"
"__vistosoXO","Hall 3 Dinner Plates Rm 204 🍽 
Fried Shrimp, Fish , Flavored wings , Chicken Tenders, Rotel Dip! Ask For Tre' !","Tue Nov 08 01:07:20 +0000 2016","Nirvana ✨","null","Georgia, USA"
"1DaRudeBwoy","@CliveFPalmer @PrinceAlwaleed1  @tylerperry We are what we repeatedly do. Excellence therefore is not an act but a… https://t.co/Wl1XenTAVX","Tue Nov 08 01:07:20 +0000 2016","Atlanta, Ga","null","Riverdale, GA"
