This Twitter Feed is Recording for this Bounding Box (sw long, sw lat, ne long, ne lat)  -122.34, 28.62, -59.41, 46.567Starting at this date and time  Tue Nov 08 2016 07:40:50 GMT-0500 (Eastern Standard Time)
Screen Name, Tweet Content, Tweet Time, User Location, Coordinates, Tweet Place
"tallguytony","@newslaves2016 https://t.co/gvpETjCOk2","Tue Nov 08 12:40:55 +0000 2016","Nashville, TN","null","Nashville, TN"
"Femme_Foodie","Help Italian earthquake victims by eating out during Italian Restaurant Week in Houston Nov 14-20 https://t.co/eDhBvaMzQ2 via @HoustoniaMag","Tue Nov 08 12:40:55 +0000 2016","Houston, TX","null","Sugar Land, TX"
"breeannaxxxx","Hahahhahahahahah","Tue Nov 08 12:40:55 +0000 2016","@ ya hoe's house ","null","Georgia, USA"
"kaystewart121","Do your country a favor and go vote 🇺🇸","Tue Nov 08 12:40:55 +0000 2016","Cheyenne, WY","null","Hastings, NE"
"PplsRepOfAndrew","#Drugs2016 #ElectionDay","Tue Nov 08 12:40:55 +0000 2016","null","null","Redland, MD"
"LifeUvBasicEarl","Spam account: "today is the only time to RT this. We won't have another Nov. 8th in 2016" 😒 https://t.co/uqAYitbhaX","Tue Nov 08 12:40:55 +0000 2016","Dallas, Tx","null","Dallas, TX"
"JayCuse96","@MSNBC The Russians will not win the US election! https://t.co/HLHajXIadh","Tue Nov 08 12:40:55 +0000 2016","Syracuse","null","New York, USA"
"HectorEncinia","How you gone be flexin so hard when them diamonds is fake","Tue Nov 08 12:40:55 +0000 2016","null","null","Houston, TX"
"juliabluest","@theG4Alliance @TigistuA @KellyAnn_Curran https://t.co/WCus9lmAKo","Tue Nov 08 12:40:55 +0000 2016","null","null","Baltimore, MD"
"Jaelaaaa","follow your honest belief and stay strong.","Tue Nov 08 12:40:56 +0000 2016","null","null","Texas, USA"
"primesilver","@HalleKiefer @AnnCoulter maybe she's counting step-grandparents, too","Tue Nov 08 12:40:56 +0000 2016","Brooklyn, NY","null","Brooklyn, NY"
"bk1__",""if you born on a plan, you ain't from nowhere" 😭😭😭😭","Tue Nov 08 12:40:56 +0000 2016","null","null","Philadelphia, PA"
"Feral20","Remember it's your civic duty friends. There's lots of animal items on the ballot too.  xo Wu… https://t.co/QorgOmIJZx","Tue Nov 08 12:40:56 +0000 2016","CT","[object Object]","South Windham, CT"
"abby_lee_18","Time change has literally saved my ass","Tue Nov 08 12:40:56 +0000 2016","Evergreen, AL","null","Alabama, USA"
"SeanRyanNolan","Gonna get my deplorable ass out to vote soon","Tue Nov 08 12:40:56 +0000 2016","South Buffalo","null","Buffalo, NY"
"svanwitz","If Hillary becomes president Im moving to Canada","Tue Nov 08 12:40:56 +0000 2016","null","null","Mokena, IL"
"moorgan_marieee","Raise a glass to freedom, something we will never see again. 🍺 https://t.co/5fwHbxEqXh","Tue Nov 08 12:40:56 +0000 2016","black lives matter","null","Akron, OH"
"LarkinPowell","Happy Election Day.  Use this to think about something fun. #LittleLarkin https://t.co/yoQbYuBMCM","Tue Nov 08 12:40:56 +0000 2016","Lincoln, NE","null","Lincoln, NE"
"Guap4Prez","@slickdeals @Nostalgic_Tune","Tue Nov 08 12:40:57 +0000 2016","Slidell, LA.","null","Eden Isle, LA"
"visual_dope","You are now in...the feels zone *twilight zone music plays* https://t.co/Ha7ucmlMoV","Tue Nov 08 12:40:57 +0000 2016","statesboro ga","null","Lithia Springs, GA"
"JohnWiz_15","Why isn't this deal on my app?? :/ https://t.co/kCNnJtZBFZ","Tue Nov 08 12:40:57 +0000 2016","Towson","null","Towson, MD"
"mudd_life_1199","Lol","Tue Nov 08 12:40:57 +0000 2016","null","null","Louisiana, USA"
"janiekinzz","#ImWithHer ✅😊 https://t.co/u2gZiUf9nD","Tue Nov 08 12:40:56 +0000 2016","null","null","Fall River, MA"
"donaldchall","6:30 am 100 ahead and 75 and growing behind me. Drizzle not deterring vote here. #2016election #FoxNews2016 https://t.co/1HWRDrM30y","Tue Nov 08 12:40:57 +0000 2016","Broken Arrow","null","Broken Arrow, OK"
"JasonJArnold","Hey @justinbarnard  what about this one? https://t.co/yQdS04pXle","Tue Nov 08 12:40:57 +0000 2016","Stillwater OK","null","Texas, USA"
"rylieerinxoxo_","stop bein fuckin mean 😭 https://t.co/jBTfa4eLmI","Tue Nov 08 12:40:57 +0000 2016","Naples, FL","null","Florida, USA"
"UnfollowMeIdgaf","She said I'm the shit I said shit probably","Tue Nov 08 12:40:57 +0000 2016","null","null","Glenarden, MD"
"thetoddbryant","@iTomHarness You've hit the bigtime!","Tue Nov 08 12:40:57 +0000 2016","Marion, IL","null","Illinois, USA"
"cano357","LETS GET ALL THESE NOT QUALIFIED PEOPLE OUT AND THEIR HANDS OUT OF… https://t.co/nXRmu6Fyae","Tue Nov 08 12:40:57 +0000 2016","Paterson NJ 07524","[object Object]","Paterson, NJ"
"mgeheren","133% increase in searches for "Long Wait Times" in Sioux Falls, South Dakota per @GoogleTrends #Electionland https://t.co/3iPGqC95VG","Tue Nov 08 12:40:57 +0000 2016","South Dakota, USA","null","Sioux Falls, SD"
"ThaFatKnight","@brittanydance97 lol turban","Tue Nov 08 12:40:57 +0000 2016","null","null","Houston, TX"
"Brooklyn_s21","I'm just gonna go ahead and off myself tonight bc of one of the dumb asses that'll be our president","Tue Nov 08 12:40:57 +0000 2016","You know as well as i do","null","Ohio, USA"
"__cyrh","crying because im gonna miss my @POTUS and @FLOTUS. the only first family i've ever really known 😭","Tue Nov 08 12:40:57 +0000 2016","null","null","Byram, MS"
