This Twitter Feed is Recording for this Bounding Box (sw long, sw lat, ne long, ne lat)  -84.6,33.3,-83.9,33.9Starting at this date and time  Thu Nov 03 2016 21:09:07 GMT-0400 (Eastern Daylight Time)
Screen Name, Tweet Content, Tweet Time, User Location, Coordinates, Tweet Place
"MrzGigglez20","Oh gosh @MATTHARDYBRAND got amnesia noooooo #IMPACTonPOP","Fri Nov 04 01:09:59 +0000 2016","in my unstable mind,NC","null","North Carolina, USA"
"oliviagoodson","Everything we've ever known ends tomorrow it's so surreal. you always think about the day it will be over but never think it will come.","Fri Nov 04 01:09:59 +0000 2016","Atlanta, GA","null","Marietta, GA"
"CertifiedKvsh_","Like try harder to hurt my feelings even thought you not going to succeed but keep trying hunny","Fri Nov 04 01:09:59 +0000 2016","Atlanta, GA","null","Georgia, USA"
"Shawn88Wayne","@neishneishh but we can see shes darkskin why must it be said","Fri Nov 04 01:10:00 +0000 2016","Atlanta, GA","null","College Park, GA"
"kookie9200","So Erin's doing another oversized coat? Will there be embroidery too?","Fri Nov 04 01:10:00 +0000 2016","Eastern North Carolina","null","North Carolina, USA"
"MarkZinno","#Falcons defense better get it together. If Tampa holds onto the ball, things would look a lot different.","Fri Nov 04 01:10:00 +0000 2016","Atlanta,GA","null","Smyrna, GA"
"_roddyxxxx","Give me golden state for the fresh 25 cash app ready https://t.co/qBswRuj8LF","Fri Nov 04 01:10:01 +0000 2016","#Morehouse19","null","Atlanta, GA"
"jgrossberry","https://t.co/JNNakVqlHH

I pray that everyone strives to become an informed voter.","Fri Nov 04 01:10:02 +0000 2016","null","null","Georgia, USA"
"xoADORE_OLIVIA","Wish babe was comming to New York with me :/","Fri Nov 04 01:10:02 +0000 2016","Athens, GA ","null","Georgia, USA"
"bigbeezyshouse","Um excuse me ma'am https://t.co/vot3QcDbxX","Fri Nov 04 01:10:02 +0000 2016","in the thick of it","null","Stockbridge, GA"
"RinaD_xoxo","@boxycharm why don't y'all ship the boxes out before the 10th 😭😭😭 I can barely contain myself 😩","Fri Nov 04 01:10:01 +0000 2016","who cares? ","null","Georgia, USA"
