This Twitter Feed is Recording for this Bounding Box (sw long, sw lat, ne long, ne lat)  -84.6,33.3,-83.9,33.9Starting at this date and time  Fri Nov 04 2016 20:56:57 GMT-0400 (Eastern Daylight Time)
Screen Name, Tweet Content, Tweet Time, User Location, Coordinates, Tweet Place
"CodyPersonality","Whatever Casey was eating in that commercial, I don't think they made it in Hell's Kitchen. #TheExorcist #FindCasey","Sat Nov 05 00:58:22 +0000 2016","North Carolina","null","North Carolina, USA"
"jeneesmith_","Lol goals https://t.co/qGmwpHfsnp","Sat Nov 05 00:58:23 +0000 2016","Atlanta, GA","null","Sandy Springs, GA"
"gene423","@HillaryClinton Same thing his housing discrimination charge, denial of POTUS' citizenship, and David Duke endorsement said.","Sat Nov 05 00:58:24 +0000 2016","null","null","Georgia, USA"
"mvria__","when your sister hates all your friends https://t.co/JnHGwaRAK4","Sat Nov 05 00:58:25 +0000 2016","Kinston, NC","null","North Carolina, USA"
"jb25two","@bashhhley 202","Sat Nov 05 00:58:25 +0000 2016","null","null","North Carolina, USA"
"therealashani2","this really my mans so coming at her coming at me @bigdaddyken___ ⛽️⛽️⛽️⛽️⛽️⛽️⛽️⛽️⛽️","Sat Nov 05 00:58:26 +0000 2016","nyc✈️atl","null","Atlanta, GA"
"Jaleesa_Nicole","@Too_Gee 😂😂😂😂😂😂","Sat Nov 05 00:58:26 +0000 2016","GEORGIA","null","Georgia, USA"
"GENODABOSS","@teamspazg Tuesday November 8th @101Distribution Presents #HipHop Mixtape release party of #Genodaboss Sign up today https://t.co/bKgOGen2OF","Sat Nov 05 00:58:29 +0000 2016","New Orleans, La. Ninth Ward","null","Georgia, USA"
"_AMilan","When you gotta take a selfie in the airplane bathroom 😍 https://t.co/mWpExb2Mar","Sat Nov 05 00:58:30 +0000 2016","Philly","null","College Park, GA"
"1RichTae","@kodieshane @lilyachty @thegoodperry Listen to my music video when you get a chance it's litty. We should link ⛵️️🔥🔥https://t.co/Jm2IFZYOkJ","Sat Nov 05 00:58:30 +0000 2016","NY✈️GA","null","Sandy Springs, GA"
"thatgirlmckayy","@MrsDoinThaMost lmaooo that's exactly how I typed it in my head","Sat Nov 05 00:58:31 +0000 2016","Atlanta, GA","null","Georgia, USA"
"BlakeUTwiggins","At the end of 3, Swain leads 7-0. #smcw12","Sat Nov 05 00:58:31 +0000 2016","Robbinsville, NC","null","North Carolina, USA"
"TrillaryBlinton","I still don't trust polling. I know that at any moment people could be intentionally skewing them. #BBOTT","Sat Nov 05 00:58:32 +0000 2016","Atlanta, GA","null","Atlanta, GA"
"clairebear618",""Nancy Padovano coined this shit" -Nancy","Sat Nov 05 00:58:32 +0000 2016","null","null","Peachtree City, GA"
"srmilesauthor","@NecoleRyse speak on it! That's why they kill off parents in order to give kids the autonomy to run reckless.","Sat Nov 05 00:58:33 +0000 2016","Atlanta, GA","null","Georgia, USA"
"odell1217","Wilkes Central --21--North Wilkes--14--","Sat Nov 05 00:58:34 +0000 2016","Mount Airy, NC","null","North Carolina, USA"
"juhkiruhh_","I'm addicted to getting money, addicted to shinning.","Sat Nov 05 00:58:36 +0000 2016","912 ","null","Georgia, USA"
"Modelbound_","Nooo not granny 😂😂 https://t.co/JgR3l9jOrV","Sat Nov 05 00:58:36 +0000 2016","Detroit,MI ✈️Texas","null","Georgia, USA"
"Koach_CartER","No trade clause  https://t.co/HYTUAwulJE","Sat Nov 05 00:58:36 +0000 2016","atl/marietta","null","Atlanta, GA"
"SaxtonJason","@matthewminas Thanks for the follow bro!!!","Sat Nov 05 00:58:40 +0000 2016","Atlanta, GA","null","Sandy Springs, GA"
"GaptoothDiva","Date Night with Boonie feels like we just met. He fine AF tonight, too. (at @BistroNiko in Atlanta, GA) https://t.co/OY9rs0I3qY","Sat Nov 05 00:58:40 +0000 2016","Richmond, VA - Worldwide","[object Object]","Atlanta, GA"
"yebalnik","@JerzyLuv2A @DTemp38 @vincentcuratola @nypost @showbiz411 https://t.co/y0vct6zsc8","Sat Nov 05 00:58:40 +0000 2016","null","null","North Carolina, USA"
"Pz_Scott","@bIushs ily","Sat Nov 05 00:58:41 +0000 2016","RIP Ben 11-1-16","null","North Carolina, USA"
"rhondawfleming1","#SpiritCooker &amp; Hillary's daughter appear to be close‼️ https://t.co/GGYnBSI2Y9","Sat Nov 05 00:58:42 +0000 2016","null","null","North Carolina, USA"
"NCsteelersfan69","@CindieNolin1 god bless her 👏👏👏👍👍👍👊","Sat Nov 05 00:58:42 +0000 2016","underground bunker","null","North Carolina, USA"
"1enora_br00k5","Uhhh I voted 2dai I tink her name wuz Hillary Clifton?","Sat Nov 05 00:58:42 +0000 2016","null","null","North Carolina, USA"
"jonathanmedena","Facts. https://t.co/dgMqRDLwqY","Sat Nov 05 00:58:43 +0000 2016","Cobb County, GA","null","Georgia, USA"
"kgam_","People be making up some corny lies. 😂😭","Sat Nov 05 00:58:44 +0000 2016","instagram @graciaadele","null","North Carolina, USA"
"jamesbgates","@HiAltDawg most definitely","Sat Nov 05 00:58:45 +0000 2016","Atlanta, GA","null","Sandy Springs, GA"
"OfficeTeamJobs","Can you recommend anyone for this #job in #Atlanta, GA? https://t.co/awsyx7bBo4 #OfficeTeam #Clerical #Hiring","Sat Nov 05 00:58:45 +0000 2016","Menlo Park, CA","[object Object]","Atlanta, GA"
"Gunwalkie","@RoyaIize shit game played 2 pubs and knew it was gonna be shit..","Sat Nov 05 00:58:46 +0000 2016","North Carolina, USA","null","North Carolina, USA"
"falcondelta81","Smart man 💯 https://t.co/n39aLLOFoK","Sat Nov 05 00:58:46 +0000 2016","3,500 ft ✈ or GA Dome","null","Georgia, USA"
"i2teachtechga","I am, you are, WE are @DeKalbSchools @FairingtonES 🐾 https://t.co/hC5ehZQkd0","Sat Nov 05 00:58:45 +0000 2016","Decatur, GA","null","Georgia, USA"
"lilromeo187","science just turns me on","Sat Nov 05 00:58:46 +0000 2016","CHARLOTTE/WILM","null","North Carolina, USA"
"TheRealKieraJ_","@NayBossin 😂","Sat Nov 05 00:58:48 +0000 2016","CO✈️ATL","null","Atlanta, GA"
"guccimaneliv","HIGHKEY READY TO JUMP OFF OF A CLIFF AND DIE","Sat Nov 05 00:58:49 +0000 2016","Cov","null","Georgia, USA"
"irlsweetroll","me listening to ana talk about claymation https://t.co/LIbVrCQ3MI","Sat Nov 05 00:58:49 +0000 2016","with ana probably","null","Atlanta, GA"
"B_ELLIS24","@kevinburkhardt bout time for you to take a vacation, Kevin!!","Sat Nov 05 00:58:54 +0000 2016","Norman Park, GA","null","Georgia, USA"
"GENODABOSS","@djcurrensy Tuesday November 8th @101Distribution Presents #HipHop Mixtape release party of #Genodaboss Sign up tod… https://t.co/lRHpt7EHjP","Sat Nov 05 00:58:54 +0000 2016","New Orleans, La. Ninth Ward","null","Georgia, USA"
"Dinner_Dialogue","Sustained Seabass! #awesome #dinneranddialoguetv #instagood #dinner #delicious #foodie #blogger… https://t.co/lTjPnzFUzk","Sat Nov 05 00:58:56 +0000 2016","Atlanta, GA","[object Object]","Atlanta, GA"
"jefonseca04","Moron alert 
 https://t.co/Lq4oKwL2C6","Sat Nov 05 00:58:57 +0000 2016","atlanta ga","null","Mableton, GA"
"Itaint_easy","Had a dream the other day if I get a visit Saturday by her then I'm sry she must be cuffed lol","Sat Nov 05 00:58:58 +0000 2016","null","null","North Carolina, USA"
"deone_murray","@_maryglover Awww really ?","Sat Nov 05 00:58:59 +0000 2016","null","null","North Carolina, USA"
"kmellon","@grayhchapman it gives us a base to judge others by.","Sat Nov 05 00:58:59 +0000 2016","Atlanta by way of KCMO","null","Atlanta, GA"
"vanillac0caine","MAN https://t.co/RQ9gpJ4akP","Sat Nov 05 00:59:03 +0000 2016","Atlanta, GA","null","Marietta, GA"
"kellah74","@Dawgs0624 I know ! Serious regret 😩😢!","Sat Nov 05 00:59:04 +0000 2016","mount airy , north georgia usa","null","Georgia, USA"
"_Tyree252","I know AG got it in a bag Ian gotta be there","Sat Nov 05 00:59:07 +0000 2016","Ayden, NC","null","North Carolina, USA"
"guccimaneliv","Somebody pls shoot me","Sat Nov 05 00:59:07 +0000 2016","Cov","null","Georgia, USA"
"thatgirlmckayy","And everyone https://t.co/BartzPi45O","Sat Nov 05 00:59:08 +0000 2016","Atlanta, GA","null","Georgia, USA"
"yalaa__","and i can't wait to leave .","Sat Nov 05 00:59:09 +0000 2016","NJ✈️GA","null","McDonough, GA"
"brenttalia","You can't be out here chilling and turning up like you already made it.","Sat Nov 05 00:59:10 +0000 2016","VA x ATL ","null","Georgia, USA"
"Gary_G315","@keemkahlil jasper. We went to atlanta and found bud in 5 minutes!","Sat Nov 05 00:59:10 +0000 2016","Jasper, GA","null","Georgia, USA"
"T_Hamzik","Steven Parson 1-yard TD run. Eastern Alamance up 46-0 on Northeast Guilford with 10:30 in the third. #tnscores","Sat Nov 05 00:59:10 +0000 2016","Burlington, NC","null","North Carolina, USA"
"miss__ikonic","Awesome industry event I love learning from the greats @tamilatrell awesomeeeee event 🙌🏾🙌🏾🙌🏾 @… https://t.co/1F5yNAp41y","Sat Nov 05 00:59:12 +0000 2016","Atlanta, GA","[object Object]","Atlanta, GA"
